ticker,date,open,close,high,low,sma_10,sma_20,ema_10,ema_20
PEP,2018-01-31,119.93000030517578,120.3000030517578,122.51000213623048,116.37999725341795,,,,
PEP,2018-02-28,119.91999816894533,109.7300033569336,121.01000213623048,107.94000244140624,,,,
PEP,2018-03-31,109.20999908447266,109.1500015258789,113.9000015258789,105.94000244140624,,,,
PEP,2018-04-30,108.62000274658205,100.94000244140624,111.18000030517578,100.58000183105467,,,,
PEP,2018-05-31,100.36000061035156,100.25,102.23999786376952,95.94000244140624,,,,
PEP,2018-06-30,100.54000091552734,108.87000274658205,109.58999633789062,99.6500015258789,,,,
PEP,2018-07-31,108.6999969482422,115.0,116.9000015258789,107.5199966430664,,,,
PEP,2018-08-31,114.41999816894533,112.01000213623048,118.44000244140624,110.88999938964844,,,,
PEP,2018-09-30,111.81999969482422,111.8000030517578,115.5199966430664,110.4499969482422,,,,
PEP,2018-10-31,112.1500015258789,112.37999725341795,114.2300033569336,104.52999877929688,110.04300155639649,,110.46790986494585,
PEP,2018-11-30,112.0,121.94000244140624,122.0,109.62999725341795,110.20700149536133,,112.55374487884774,
PEP,2018-12-31,120.4800033569336,110.4800033569336,120.91000366210938,105.02999877929688,110.28200149536133,,112.17670096577244,
PEP,2019-01-31,109.1500015258789,112.66999816894533,112.9000015258789,106.7300033569336,110.63400115966797,,112.26639136634932,
PEP,2019-02-28,112.9499969482422,115.63999938964844,117.3000030517578,111.4499969482422,112.10400085449218,,112.8797746433128,
PEP,2019-03-31,115.86000061035156,122.5500030517578,123.19000244140624,114.26000213623048,114.33400115966796,,114.6379979903028,
PEP,2019-04-30,122.58999633789062,128.0500030517578,128.38999938964844,120.73999786376952,116.25200119018555,,117.0765443651128,
PEP,2019-05-31,127.8499984741211,128.0,130.89999389648438,124.8499984741211,117.55200119018555,,119.06262720781956,
PEP,2019-06-30,127.86000061035156,131.1300048828125,135.24000549316406,127.48999786376952,119.46400146484375,,121.2566958760001,
PEP,2019-07-31,131.99000549316406,127.80999755859376,135.24000549316406,126.23999786376952,121.06500091552735,,122.44820527283531,
PEP,2019-08-31,128.9600067138672,136.72999572753906,137.11000061035156,123.87999725341795,123.50000076293945,116.77150115966796,125.04489444641781,118.67231016613188
PEP,2019-09-30,136.35000610351562,137.10000610351562,139.17999267578125,134.10000610351562,125.0160011291504,117.61150131225585,127.23673292952651,120.4273288268351
PEP,2019-10-31,136.92999267578125,137.1699981689453,140.4499969482422,133.49000549316406,127.68500061035157,118.98350105285644,129.04278115487537,122.02186876417892
PEP,2019-11-30,137.5500030517578,135.8300018310547,138.33999633789062,131.58999633789062,130.0010009765625,120.31750106811523,130.27682127781708,123.33692905626232
PEP,2019-12-31,136.64999389648438,136.6699981689453,138.25,134.32000732421875,132.1040008544922,122.10400085449218,131.43921707620402,124.60674516223213
